book_id,book_name,book_author,book_added_on,book_is_issued
SB-001,ON THE FARM ,not available,09-11-17,FALSE
SB-002,HIDE AND SEEK (VEHICLES),not available,09-11-17,FALSE
SB-003,MOTOR SPEED WAY ,not available,09-11-17,FALSE
SB-004,BUGS AT PLAY (AHBBA),not available,09-11-17,FALSE
SB-005,THE GOLDEN FISH(LEVEL 4),not available,09-11-17,FALSE
SB-006,THE ANT AND THE BUTTERFLY (11),not available,09-11-17,FALSE
SB-007,THE WOLF AND THE FOX ,not available,09-11-17,FALSE
SB-008,THE FOX AND THE STORK,not available,09-11-17,FALSE
SB-009,THE PORCUPINES LEGACY,not available,09-11-17,FALSE
SB-010,LOOK WHAT WHISKERS CAN DO (DS),not available,09-11-17,FALSE
SB-011,LOOK WHAT FEET CAN DO,not available,09-11-17,FALSE
SB-012,LOOK WHAT TAILS CAN DO,not available,09-11-17,FALSE
SB-013,LOOK WHAT MOUTHS CAN DO,not available,09-11-17,FALSE
SB-014,NAISHA AT THE FAIR,not available,09-11-17,FALSE
SB-015,NAISHA AT THE MARKET,not available,09-11-17,FALSE
SB-016,THE FOX AND THE GRAPES,not available,09-11-17,FALSE
SB-017,NAISHA AT THE ZOO,not available,09-11-17,FALSE
SB-018,ART ATTACK (AROUND THE WORLD),not available,09-11-17,FALSE
SB-019,SPOOKY STUFF,not available,09-11-17,FALSE
SB-020,AT THE CIRCUS,not available,09-11-17,FALSE
SB-021,FESTIVAL FUN,not available,09-11-17,FALSE
SB-022,MAKE AND DO,not available,09-11-17,FALSE
SB-023,THE EAGLE AND THE JACKDAW/ THE PEASANT AND THE TREE,not available,09-11-17,FALSE
SB-024,THE DANCING MONKEY/THE FISHERMAN AND THE LITTLE FISH,not available,09-11-17,FALSE
SB-025,THE GRASSHOPPER AND THE OWL/THE COCK AND THE JEWEL,not available,09-11-17,FALSE
SB-026,THOSE ANIMALS,not available,09-11-17,FALSE
SB-027,FRIENDS AND FAMILIES,not available,09-11-17,FALSE
SB-028,DOWN ON THE FARM,not available,09-11-17,FALSE
SB-029,WHATS COOKING,not available,09-11-17,FALSE
SB-030,FUN AND GAMES,not available,09-11-17,FALSE
SB-031,A LITTLE LIE,not available,09-11-17,FALSE
SB-032,"MA, CAN I HELP ?",not available,09-11-17,FALSE
SB-033,WHAT A MESS,not available,09-11-17,FALSE
SB-034,A TIME TOGETHER,not available,09-11-17,FALSE
SB-035,THE GREAT BALLOON ,not available,09-11-17,FALSE
SB-036,TENALI RAMAN ,not available,09-11-17,FALSE
SB-037,THE MAGICAL WELL,not available,09-11-17,FALSE
SB-038,LIES AND ILLUSION AND OTHER STORIES,not available,09-11-17,FALSE
SB-039,THE SWEET TRUTH AND OTHER STORIES,not available,09-11-17,FALSE
SB-040,THE COMPETITION AND THE OTHER STORIES,not available,09-11-17,FALSE
SB-041,THE MANGO AND THE OTHER STORIES,not available,09-11-17,FALSE
SB-042,THE COLOURED NAILS AND THE OTHER STORIES,not available,09-11-17,FALSE
SB-043,THE KEY TO HEAVEN,not available,09-11-17,FALSE
SB-044,THE BLUE JACKAL,not available,09-11-17,FALSE
SB-045,THE JACKAL WHO KILLED NO ELEPHANTS,not available,09-11-17,FALSE
SB-046,THE MONEKY AND THE CROCODILE,not available,09-11-17,FALSE
SB-047,THE MONEKY AND THE MOON,not available,09-11-17,FALSE
SB-048,THE ASS HAS NO BRAIN,not available,09-11-17,FALSE
SB-049,A COOK AT THE ZOO,not available,09-11-17,FALSE
SB-050,THE STICKY END,not available,09-11-17,FALSE
