toy_name,toy_id
Match And Spell Animals,TL/SB/01
Intelligent Cube Set,TL/SB/02
"Feel Me Match Me, Multi Color    
S-32",TL/SB/03
String Along Shapes,TL/SB/04
Threading Shapes Single,TL/SB/05
Rod Sorting Board Sc52,TL/SB/06
"Maze Chase Sadow    
Matching-H21Sb",TL/SB/07
Camel Seriation Big With Knob,TL/SB/08
Ink Medical Kit Rstg-Red,TL/SB/09
"Nine Shape Sorter, Multi Color",TL/SB/10
"Mini Bricks (32 Pieces) , Multi    
Colo B-6",TL/SB/11
Color-Tables M-68,TL/SB/12
"Exploring Fractions - Circle, Multi    
Color Sf-58E",TL/SB/13
African Collection,TL/SB/14
Polybag Dinosauria,TL/SB/15
Abc Wooden Tray,TL/SB/16
"Number Match-Up Tiles, Multi Color",TL/SB/17
Cylinder Blocks ,TL/SB/18
Cylinder Block No 3,TL/SB/19
The Pink Tower,TL/SB/20
A Tray of 6 Geometrical Shapes,TL/SB/21
Beginners Shape,TL/SB/22
Pegs and Sqaures,TL/SB/23
Pegs Mosaic Board,TL/SB/24
Folding Engine No.1,TL/SB/25
Folding Boat,TL/SB/26
Folding Fort,TL/SB/27
Tracing Shapes: Different Shapes,TL/SB/28
Size & Seriation : Aeroplane,TL/SB/29
Size & Seriation : House,TL/SB/30
Size & Seriation : Triangle,TL/SB/31
Circle Set,TL/SB/32
Two ways hammering,TL/SB/33
Jigsaw Puzzle in Thick Board Tray : Fish,TL/SB/34
Jigsaw Puzzle in Thick Board Tray : Cat,TL/SB/35
Jigsaw Puzzle in Thick Board Tray : Elephant Tray,TL/SB/36
Picture Matching for Visual Aids: Animals & Birds,TL/SB/37
Picture Matching for Visual Aids: Shapes No 1,TL/SB/38
Alphanbets with Pictures (English),TL/SB/39
Our Uses,TL/SB/40
Number cutouts,TL/SB/41
Counting Jigsaw Puzzles,TL/SB/42
Story Cutouts  - Old Lady and the Pumpkin,TL/SB/43
Story Cutouts  - Hare and the Tortoise,TL/SB/44
Story Cutouts  - Two Goats (Wise & Silly),TL/SB/45
Story Cutouts  - Unity is strength,TL/SB/46
Number Rods for addition & subtraction,TL/SB/47
Tobu Links,TL/SB/48
Folding: Parrot,TL/SB/49
Follow the patterns,TL/SB/50
Lets Fix Vechiles,TL/SB/51
Peg Linking,TL/SB/52
Body Parts,TL/SB/53
Farm Animals,TL/SB/54
Alplabet Tracing (Lc),TL/SB/55
Indian Musical Instruments,TL/SB/56
Number And Quantitiy,TL/SB/57
Standard Opposites,TL/SB/58
Match Opposites,TL/SB/59
Medical Instruments,TL/SB/60
Western Musical Instruments,TL/SB/61
Alphabet Pic Tray,TL/SB/62
Mouth Puzzle,TL/SB/63
Sand Play Set,TL/SB/64
Lets Solve,TL/SB/65
Wild Animals,TL/SB/66
Animals And Young Ones,TL/SB/67
Covical Beads,TL/SB/68
Triangle,TL/SB/69
Numerical Bead Stacker,TL/SB/70
Shape Hammering,TL/SB/71
Basic Shape Stacker,TL/SB/72
Fruits,TL/SB/73
Fruits And Veggies,TL/SB/74
Animals And Home,TL/SB/75
Vegetables,TL/SB/76
Say And Spell,TL/SB/77
Ocean Animals,TL/SB/78
Fruit Puzzle,TL/SB/79
Building Blocks,TL/SB/80
Graded Picture Pairing,TL/SB/81
Alphabet Tracing,TL/SB/82
Tarce The Patterns,TL/SB/83
Tarce Animals And Birds,TL/SB/84
Jigsaw Vegetables,TL/SB/85
Pentagon,TL/SB/86
Greele And Stachecircles,TL/SB/87
Serving Animals,TL/SB/88
Number Triangle,TL/SB/89
Picture Pairing,TL/SB/90
